,dia,nuo,defected,data,qSQI,cSQI,sSQI,kSQI,pSQI,basSQI,fSQI
88,0,1,0,"[-0.00602881 -0.00952694 -0.01300777 ...  0.01209558  0.00849757
  0.00479358]",0.201,0.805,-0.187,2.432,0.982,0.834,0.4455454426017037
89,1,0,1,"[ 0.00031371 -0.00276571 -0.00574425 ... -0.01318541 -0.01063008
 -0.00800992]",0.068,0.651,-0.444,33.603,0.986,0.779,0.3267639845170651
90,0,1,0,"[-0.00394201 -0.01189829 -0.01960245 ... -0.00814331 -0.00629846
 -0.0044552 ]",0.265,0.781,-3.014,12.236,0.981,0.907,0.4953580512537532
91,0,1,0,"[ 0.01751404  0.01836478  0.01920347 ... -0.01172835 -0.01048056
 -0.00921472]",0.007,0.652,1.176,7.447,0.99,0.855,0.5567850492832499
92,0,1,0,"[-0.00390893 -0.00442429 -0.00495477 ...  0.06732649  0.07024933
  0.07331332]",0.239,0.744,2.752,10.929,0.963,0.922,0.5009353195376908
93,0,1,0,"[-0.0025263  -0.00279449 -0.00309069 ...  0.00791116  0.00692661
  0.00591087]",0.669,0.581,1.178,7.798,0.993,0.856,0.5646533278827078
94,0,1,0,"[ 0.0027175   0.00038973 -0.00187138 ...  0.00966562  0.00967721
  0.00972546]",0.358,0.591,1.844,5.636,0.983,0.867,0.348721641771312
95,1,0,0,"[ 0.01332624  0.01540732  0.017428   ... -0.01602083 -0.01353503
 -0.01102326]",0.002,0.627,2.913,12.413,0.99,0.857,0.4225868187489776
96,0,1,0,"[ 0.02013889  0.02026019  0.0202848  ... -0.00945403 -0.00847774
 -0.00758928]",0.216,0.905,2.77,47.59,0.973,0.788,0.20163143869153605
97,1,0,1,"[-0.00375424 -0.00216054 -0.00061817 ... -0.00892277 -0.00738186
 -0.00580341]",0.008,0.639,1.72,10.55,0.993,0.82,0.3744513349971819
98,0,1,0,"[-0.00896009 -0.00607546 -0.00329723 ...  0.06755222  0.06971115
  0.07197533]",0.302,0.586,1.964,6.756,0.964,0.864,0.4355108318799578
99,0,1,0,"[-0.00751424 -0.00982177 -0.01204677 ... -0.01019941 -0.00891204
 -0.00766815]",0.46,0.582,0.492,22.281,0.987,0.75,0.29829247629533334
100,0,1,0,"[-0.0073997  -0.00810926 -0.00881952 ... -0.00712219 -0.00637369
 -0.00559987]",0.006,0.648,2.394,10.569,0.995,0.855,0.4125540938744631
